2024-06-11 16:43:04 | INF | Database: table 'users' has been connected!
2024-06-11 16:43:04 | INF | Database: table 'channels' has been connected!
2024-06-11 16:43:04 | DEB | Consider installing rusty-rlp to improve pyrlp performance with a rust basedbackend. Not currently functional for Python 3.11
2024-06-11 16:43:05 | INF | Thread: Sending process has been started!
2024-06-11 16:43:05 | DEB | Using proactor: IocpProactor
2024-06-11 16:43:05 | DEB | Make request: "getMe" with data: "{}" and files "None"
2024-06-11 16:43:05 | DEB | Response for getMe: [200] "'{"ok":true,"result":{"id":6992604156,"is_bot":true,"first_name":"ETH Gas Monitoring Bot","username":"tokito_gasbot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false,"can_connect_to_business":false}}'"
2024-06-11 16:43:05 | INF | Bot: ETH Gas Monitoring Bot [@tokito_gasbot]
2024-06-11 16:43:05 | DEB | Make request: "getWebhookInfo" with data: "{}" and files "None"
2024-06-11 16:43:05 | DEB | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
2024-06-11 16:43:05 | DEB | Make request: "deleteWebhook" with data: "{'drop_pending_updates': True}" and files "None"
2024-06-11 16:43:05 | DEB | Response for deleteWebhook: [200] "'{"ok":true,"result":true,"description":"Webhook is already deleted"}'"
2024-06-11 16:43:05 | WAR | Updates were skipped successfully.
2024-06-11 16:43:05 | DEB | Make request: "setMyCommands" with data: "{'commands': '[{"command": "/menu", "description": "настройки"}, {"command": "/help", "description": "поддержка"}]'}" and files "None"
2024-06-11 16:43:05 | DEB | Response for setMyCommands: [200] "'{"ok":true,"result":true}'"
2024-06-11 16:43:05 | DEB | ETH Gas Monitoring Bot has been started!
2024-06-11 16:43:05 | INF | Start polling.
2024-06-11 16:43:05 | DEB | Make request: "getWebhookInfo" with data: "{}" and files "None"
2024-06-11 16:43:05 | DEB | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
2024-06-11 16:43:05 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:43:25 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:43:25 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:43:45 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:43:46 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:44:06 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:44:06 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:44:26 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:44:26 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:44:46 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:44:46 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:45:06 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:45:06 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:45:26 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:45:26 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:45:46 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:45:47 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:46:07 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:46:07 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:46:27 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:46:27 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:46:47 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:46:47 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:47:07 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:47:07 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:47:27 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:47:27 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:47:47 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
2024-06-11 16:47:47 | DEB | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
2024-06-11 16:48:08 | DEB | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
